ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Description,Categories,Language
0399528822,How to Survive Your Husband's Midlife Crisis: Strategies and Stories from the Midlife Wives Club,Gay Courter,2003,Perigee Books,,,
3442152038,Im RÃ?Â¼cken steckt das Messer. Geschichten aus der Gerichtsmedizin.,Hans Bankl,2003,Goldmann,,,
014200135X,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,2002,Penguin Books,,,
0971922152,Anatomy of A Life Possessed,Maria Ferrara Pema,2002,Winner Episode Press,,,
0441141684,Death by Dreaming,Jon Manchip White,1982,Ace Books,,,
1586601121,Tails of Love: Pets Play Matchmaker in Four Modern Love Stories,Lauralee Bliss,2001,Barbour Publishing,,,
0449244709,Control Tower,Robert Davis,1981,Fawcett Books,,,
0385323212,Wallace and Gromit in Nick Park's a Close Shave,Graham Marks,1996,Doubleday Books,,,
0743223314,"More, Now, Again: A Memoir of Addiction",Elizabeth Wurtzel,2002,Touchstone Books,,,
0731800613,So Different,Stirling,1989,Prentice Hall (a Pearson Education company),,,
0006372570,Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer,Marcus Sieff,1988,HarperCollins Publishers,,Businessmen,
0919345808,Natural Magic,Doreen Valiente,1985,Phoenix Publishing (WA),,,
037325881X,"Drop - Dead Gorgeous (Sweet Talkin' Guys) (Temptation, 781)",Lyn Ellis,2000,Harlequin,,,
0439011574,Hippo Murderous Maths: The Essential Arithmetricks,Kjartan Poskitt,1999,Scholastic Paperbacks (Mm),,,
0671450344,HIGHLAND VELVET,Jude Deveraux,1982,Pocket,,,
0141309199,Slam (Alloy Books),Cecily Von Ziegesar,2000,Puffin Books,A collection of poetry for teenagers.,Juvenile Nonfiction,
0440503124,The Bob Book: A Celebration of the Ultimate Okay Guy,David Rensin,1991,Dell Publishing Company,,,
0671628860,NEGOTIATE TO CLOSE : HOW TO MAKE MORE SUCCESSFUL DEALS,Gary Karrass,1987,Fireside,,,
0312291450,If Chins Could Kill : Confessions of a B Movie Actor,Bruce Campbell,2002,L.A. Weekly Books,Chronicles the life of actor Bruce Campbell from his childhood in Detroit through his time spent making the film Evil Dead to his days in Hollywood.,Biography & Autobiography,
0871312212,Dancing Aztecs,Donald E. Westlake,1976,Natl Book Network,,,
3822812862,Dessous (TASCHEN Icons Series),Gilles Neret,2001,Taschen,,,
0553248944,Skystalker (Be An Interplanetary Spy No. 12),Len Neufeld,1985,Bantam Books,,,
0800757459,Sometimes I Wake Up Grumpy . . . and Sometimes I Let Him Sleep,Karen Scalf Linamen,2001,Revell,,,
0821737155,Hidden Touch,Virginia Brown,1992,Zebra Books,,,
0449205800,Minerva,Marion Chesney,1984,Fawcett Books,,,
0373059086,"Dad Like Daniel (From Here To Maternity) (Silhouette Desire, No 908)",Elizabeth Bevarly,1995,Silhouette,,,
0441011462,Angelica: A Novel of Samaria,Sharon Shinn,2004,Ace Books,"Two hundred years ago, the god Jovah created a legion of land dwelling angels, led by an appointed Archangel. Now, Jovah has a new appointee: Archangel Gaaron. For his life-mate, his Angelica, Jovah has chosen a woman named Susannah. Slowly, an unspoken affection develops between the two. But there is a terrible threat besetting the land-and the true hearts of Archangel and Angelica may never be known.",Fiction,
0563487771,When Will I Be Famous: Travels Through the Dark Side of Show Business,Martin Kelner,2003,BBC,,,
140007567X,The Whole Story and Other Stories,ALI SMITH,2004,Anchor Pub,,,
069810806X,Little Angie,Emma Cave,1977,"Coward, McCann &amp; Geoghegan",,,
0694015091,So Big! (Playtime Rhyme),Public Domain,2001,HarperFestival,,,
208068454X,Je ne suis pas amoureuse,Anne Casanova,2003,Flammarion,,,
0345314867,The Summer of Katya,Trevanian,1984,Ballantine Books,"In the quiet Basque countryside in 1914, Jean-Marc Montjean, a handsome young doctor, is bewitched by the seductive, beautiful Katya. He is driven to know everything about her. He is devastated by the unspeakable secret horror buried in her past. ""A most exquisite, elegant, ingenious thriller."" -- The New York Daily News ""A tour de force . . . A story that explores meticulously some of the darker corners of the human soul."" -- The Washington Post",Fiction,
1893896838,Immortal Image,Jaye Roycraft,2003,Imajinn Books,,,
075350491X,The People's Lawyer,Philip Ells,2002,Virgin Publishing,,,
1561632074,"The Adventures of a Lesbian College School Girl (The Adventures of a Lesbian College School Girls , Vol 1)",Petra Waldron,1998,Amerotica,,,
067178501X,PALMISTRY : HOW TO CHART THE LINES OF YOUR LIFE,Roz Levine,1993,Fireside,,,
0450610039,Dead of Light (New English Library (Hodder and Stoughton).),Chaz Brenchley,1997,Trafalgar Square,,,
2221064526,Les mousquetaires (Les Grands romans d'Alexandre Dumas),Alexandre Dumas,1991,R. Laffont,,,
006057559X,Year's Best Sf 9 (Year's Best SF (Science Fiction)),David G. Hartwell,2004,Eos,,,
3570190269,Wahnsinn Wachstum. Wieviel Mensch ertrÃ?Â¤gt die Erde.,Reiner Klingholz,1994,Gruner &amp; Jahr,,,
0792457455,"The Cat Companion: The History, Culture, and Everyday Life of the Cat",Amy Shojai,1992,BDD Promotional Books Company,,,
0684857960,The Scribner Anthology of Contemporary Short Fiction : Fifty North American American Stories Since 1970,Michael Martone,1999,Touchstone,,,
0871920786,The photographer as designer,Vivian Varney,1977,Davis Publications,,,
0688059457,The Puppy Who Wanted a Boy,Jane Thayer,1986,HarperCollins Publishers,,,
0614154898,Darksaber,Kevin J. Anderson,1995,Bantam Books,,,
0440484618,Something Queer at the Haunted School (Yearling Book),Elizabeth Levy,1983,Yearling Books,,,
0809239264,Unbelievably Good Deals and Great Adventures That You Absolutely Can't Get Unless You're over 50 (4th Ed),Joan Rattner Heilman,1992,Contemporary Books,,,
1583224904,Terrorism: Theirs and Ours,Eqbal Ahmad,2001,Seven Stories Press,,,
0691017778,"The Myth of the Eternal Return: Or, Cosmos and History",Mircea Eliade,1971,Princeton University Press,,,
0590845721,Tonka Big Book of Trucks,Patricia Relf,1996,Scholastic,,,
0373230133,When Duty Calls: 2 Novels in 1,Joanna Wayne,2003,Harlequin,,,
9023405145,Wat enigjes (BB literair),Marten Toonder,1975,De Bezige Bij,,,
080504146X,Wounds of Passion: A Writing Life,Bell Hooks,1997,Henry Holt &amp; Company,,,
037308417X,"Courtship Of Dani (Silhouette Romances, No 417)",Ginna Gray,1986,Silhouette,,,
0060201983,Rumpelstiltskin,Jonathan Langley,1992,HarperCollins Publishers,,,
0201120658,Who got Einstein's office?: Eccentricity and genius at the Institute for Advanced Study,Edward Regis,1987,Addison-Wesley,,,
0684192608,Swimming in the Volcano: A Novel,Bob Shacochis,1993,Simon &amp; Schuster,,,
0881844810,The Mammoth Book of Spy Thrillers,John Winwood,1989,Pub Group West,,,
0345286677,Beloved Enemy,Barbara Corcoran,1981,Ballantine Books,,,
0674792912,Science in Action: How to Follow Scientists and Engineers Through Society,Bruno Latour,1988,Harvard University Press,,,
0865714452,"Visionaries: People &amp; Ideas to Change Your Life (Utne Reader Books, 2)",Jay Walljasper,2001,New Society Publishers,,,
0821750410,Warrior Moon,Sara Orwig,1995,Zebra Books,"Vanesse is en route to a Denver convent when she leaves the wagon train to bathe in the river. There she discovers a wounded Kiowa brave--the powerful warrior she will heal, fear and love more than life itself. Across the plains and prairies where Kiowa, Comanche and the U.S. Cavalry battle for land, Vanessa and Lone Wolf will risk everything for their future together.",Fiction,en
8401442230,Rey de gatos (Rotativa ; 215 : Novela),Concha AlÃ³s,1979,Plaza &amp; JanÃ©s,,,
0373273797,In the Dark (Intimate Moments),Heather Graham,2004,Silhouette,,,
0140034919,I'm the King of the Castle,Susan Hill,1977,Penguin USA,,,
0380718154,Getting to 'I Do',Pat Allen,1995,Perennial Currents,Dr. Patricia Allen's jam-packed seminars in Los Angeles have resulted in over two thousand marriages. Now you too can take advantage of this proven step-by-step program. Here's what you'll learn: How to attract the right man When you should make the first move...and when you should not Why equality in a relationship may not be what you're looking for Why sex before commitment is a bad deal How to have sensational sex What makes a man run away from a relationship How to know when you're giving too much How to get what you want without asking What makes a man want to commit How to BE ENGAGED TO THE RIGHT MAN WITHIN A YEAR!,Reference,
080241513X,"Valkyries: Some Through the Fire (Valkyries, Turning to Christ, a Young Woman Learns the Reali)",Jeri Massi,2003,Moody Publishers,,,
1573226963,The Last Time I Wore a Dress,Daphne Scholinski,1998,Riverhead Books,,,
0743225228,Tempting Faith DiNapoli : A Novel,Lisa Gabriele,2002,Simon &amp; Schuster,,,
0553248731,Evidence of Love,John Bloom,1985,Bantam Books,,,
0898793718,Deadly Doses: A Writer's Guide to Poisons (Howdunit Series),Serita Deborah Stevens,1990,Writer's Digest Books,,,
0689803702,Richard Scarry: Camping Out (The Busy World of Richard Scarry),Richard Scarry,1995,Simon Spotlight,,,
1562800868,The First Time Ever: Love Stories by Naiad Press Authors,Barbara Grier,1995,Naiad Pr,,,
0486259935,Green Mansions: A Romance of the Tropical Forest (Dover Books on Literature and Drama),W. H. Hudson,1989,Dover Publications,,,
0373254547,"Naughty Thoughts (Harlequin Temptation, No 354)",Dawn Carroll,1991,Harlequin,,Fiction,
1568655878,Petals on the River,Kathleen E. Woodiwiss,1997,GuildAmerica Books,"Shemaine O'Hearn has made powerful enemies in her native Britain. Falsely convicted of thievery, she is shipped off in shackles to the colony of Virginia, where she is sold into indentured servitude to Gage Thornton. A widowed shipbuilder who needs a nanny for his two-year-old son, Gage is believed by many to have murdered his wife. But Shemaine finds Gage to be generous and caring, and soon they are falling in love--until grave danger from across the ocean threatens their blossoming romance. Copyright © Libri GmbH. All rights reserved.",Fiction,
0681007982,"I, Vampire",Jean Marie Stine,1995,Longmeadow Press,,,
1560250453,"Contract Killer: The Explosive Story of the Mafia's Most Notorious Hitman Donald \Tony the Greek\"" Frankos""",William Hoffman,1993,Pub Group West,"A former hitman's candid, vivid account of forty-five years in organized crime includes detailed anecdotes about life in the underworld and provides answers to many unsolved crimes--not the least of which is the contract killing of Jimmy Hoffa. 50,000 first printing. Tour.",Mafia,
0283995068,Spencer Tracy: Tragic idol,Bill Davidson,1987,Sidgwick &amp; Jackson,,,
3518372408,Terminus und andere Geschichten vom Piloten Pirx.,Stanislaw Lem,1996,Suhrkamp,,,
2070403920,Autumn,Philippe Delerm,0,Gallimard French,,,
0002253372,A good woman,Lisa Appignanesi,1996,HarperCollins Publishers,,,
0806931817,Progressive Cross-Stitch: Fast to Fantastic Variations from Single Patterns,Terrece Beesley,1995,Sterling Pub Co Inc,,,
0671496557,"ENGLISH ROSE (Tapestry Romance, No. 26)",Kelli M. Gary,1983,Pocket,,,
0061062820,Dear Sister,John Hall,1995,Harpercollins Juvenile Books,,,
0072227877,Black Ice: The Invisible Threat of Cyber-Terrorism,Dan  Verton,2003,McGraw-Hill Osborne Media,,,
0452276608,The Exploding Suns: The Secrets of the Supernovas,Isaac Asimov,1996,Plume Books,,,
3499192497,Programmiersprache Assembler. Eine strukturierte EinfÃ?Â¼hrung.,Reiner Backer,2002,Rowohlt Tb.,,,
0140384278,Tom's Private War,Leeson,1999,Penguin Uk,,,
0743421914,Look to Windward,Iain M. Banks,2001,Star Trek,,,
0140376283,Phoenix Rising,Karen Hesse,1995,Puffin Books,"Thirteen-year-old Nyle learns about relationships and death when fifteen-year-old Ezra, who was exposed to radiation leaked from a nearby nuclear plant, comes to stay at her grandmother's Vermont farmhouse.",Juvenile Fiction,
0764227238,"The Beloved Land (Song of Acadia, 5)",Janette Oke,2002,Bethany House Publishers,"Set against the backdrop of the American Revolution, two daughters make a dangerous journey in an effort to see their ailing father.",Fiction,
0440222362,Hard Evidence: How Detectives Inside the Fbi's Sci-Crime Lab Have Helped Solve America's Toughest Cases,David Fisher,1996,Dell,,,
0246109815,Halliwell's Filmgoer's companion,Leslie Halliwell,1977,Granada Publishing,,,
0375502823,Another Song About the King,Kathryn Stern,2000,Random House Trade,,,
1551668580,Beyond Tomorrow,Fern Michaels,2001,Mira,,,
0373092555,Tears In The Rain (Silhouette Special Edition),Pamela Wallace,1985,Silhouette,,,
0877930406,With open hands,Henri J. M Nouwen,1972,Ave Maria Press,,,
0425157644,Silverthorne,Wayne Davis,1997,Berkley Publishing Group,,,
0373034547,"Fate Takes A Hand (Harlequin Romances, No 3454)",Betty Neels,1997,Harlequin,,,
0449210650,Assignment in Brittany,Helen MacInnes,1986,Fawcett Books,,,
0425109216,David Letterman Story,Caroline Latham,1988,Berkley Publishing Group,,,
0878337997,Neil Sperry's Complete Guide to Texas Gardening,Neil Sperry,1991,Taylor Trade Publishing,,,
9500285738,Los Viajes de Gulliver,Martin Hargreaves,2001,El Ateneo,,,
069727862X,Diversity of Life,F. Ross,1996,McGraw Hill College Div,,,
0345327128,Adventures of Sherlock Holmes,"Arthur Conan, Sir Doyle",1990,Ballantine Books,,,
0826215130,Don't Let the Fire Go Out!,Jean Carnahan,2004,University of Missouri Press,,,
0061090514,The Lies That Bind: A Neil Hamel Mystery,Judith Van Gieson,1994,Harpercollins,,,
0804115397,Shadow Woman (Jane Whitfield Novel),Thomas Perry,1998,Ivy Books,,,
0380730464,The Iron Dragon's Daughter,Michael Swanwick,1997,Eos (HarperCollins),,,
0380797763,"Eerie Triangle (Eerie, Indiana, No 3)",Mike Ford,1997,HarperTrophy,,,
0759652406,Naked Beneath My Clothes: Tales of a Revealing Nature,Rita Rudner,2001,Authorhouse,,,
1582430608,Why Did I Ever: A Novel,Mary Robison,2001,Counterpoint Press,,,
0316289485,Take a Hike!: The Sierra Club Kid's Guide to Hiking and Backpacking,Lynne Foster,1991,Little Brown &amp; Co,,,
0071416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,"LEADERSHIP STRATEGIES BEHIND ONE OF THE MOST POPULAR PRESIDENTS IN HISTORY How the Commander-in-Chief commands George W. Bush has surprised even his harshest critics with his leadership talents and discipline. As this countrys first MBA president, Bush formed his unique leadership style managing businesses, not government offices. Team Bush is the first book to explore these unique methods and tactics he has employed to become one of the nations most popular commanders in chief in recent history. From ""hiring"" the most diverse and effective cabinets in history, to dealing with the crisis and war sparked by the events of September 11th, this compelling leadership book takes readers into the mind and methods of Americas 43rd president, and shows managers how these methods can be used to boost productivity in their own organizations. This fast-paced book pulls no punches as it showcases President Bushs successes and strengths while detailing his mistakes and weaknesses. Focusing on the actual events and outcomes of Bushs first two years in office, it discusses: The strategy behind Bushs coup in the mid-term election Lessons learned from his managing of the September 11th crisis How Bush recognizes and learns from his very public mistakes",Business & Economics,en
8489847487,"Guardias Civiles, Esos Ciudadanos Uniformados: 25 A~nos de Lucha Por La Democratizacion y El Asociacionismo En La Guardia Civil, 1976-2001: 25 Visione",Fernando Carrillo,2001,Germania,,,
0671658425,Mythic Tarot Workbook,Juliet Sharman-Burke,1988,Fireside,,,
1575421135,You're Smarter Than You Think: A Kid's Guide to Multiple Intelligences,"Thomas, Ph.D. Armstrong",2002,Free Spirit Publishing,,,
1855855348,Pocket Guide to Wild Flowers of North America,Pamela Forey,0,Trafalgar Square,,,
0821739263,Sweet Deception,Colleen Faulkner,1992,Zebra Books,,,
0807503193,"The Amusement Park Mystery (Boxcar Children Mysteries, 25)",Gertrude Chandler Warner,1992,Albert Whitman &amp; Company,The Aldens search for carousel horses that have disappeared from an amusement park.,Juvenile Fiction,
0064671011,Western Civilization to 1500 (Harpercollins College Outline Series),Walther Kirchner,1991,Perennial,,,
0670847895,The Heather Blazing,Colm Toibin,1993,Penguin USA,,,
1555610900,Quick After-Work Vegetarian Cookbook,Judy Ridgway,1996,Perseus Publishing,,,
0590434624,The Ghosts of Hungryhouse Lane,Sam McBratney,1990,Scholastic Paperbacks (Mm),,,
1570426864,Stepmom,Maggie Robb,1998,Time Warner Audio Major,,,
082173041X,Cold Front,William H. Lovejoy,1990,Zebra Books,,,
0836280598,Heart Smart Cookbook,Henry Ford Heart,1994,Andrews McMeel Pub,,,
0553404881,Forward the Foundation,Isaac Asimov,1994,Bantam,,,
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,"Roy, who is new to his small Florida community, becomes involved in another boy's attempt to save a colony of burrowing owls from a proposed construction site.",Juvenile Fiction,en
0446527769,Behind the Smile: My Journey Out of Postpartum Depression,Marie Osmond,2001,Warner Books,,,
0345325907,"The Early Asimov, Book 1 (Early Asimov)",Isaac Asimov,1986,Del Rey Books,,,
0671602217,MURDER W MIRRORS,Agatha Christie,1985,Pocket,,,
0812521188,The Sign of the Guardian,John Arthur Long,1987,Tor Books,,,
0843923806,Wives and Lovers,T. A. Gabriel,1986,Leisure Books,,,
0671452665,Flowers in the Attic,V.C. Andrews,1982,Pocket,,,
045120834X,Murder of a Snake in the Grass (Scumble River Mysteries),Denise Swanson,2003,Signet Book,"After over two years, school psychologist Skye Denison is still in Scumble River trying to figure out why she’s still in Scumble River. But with all the town’s quirks and crimes, life there is never dull, and besides, it’s home. Scumble River is celebrating its bicentennial in style—with Historical Society Reenactments, a bingo tent, Crazy Craft Race, and a coal-tossing tournament. Serving as the guest of honor is none other than the town founder’s great-great-grandnephew, Gabriel Scumble. But his visit turns out to be short-lived when Skye’s students, Frannie and Justin, find him dead, a pickax protruding from the chest area of his authentic buckskin costume. Meanwhile, Skye’s deceitful ex-fiancé Luc St. Amant has appeared out of the blue, creating turmoil in her love life. Does the real danger lie in the possibility that Luc will drive away the men in Skye’s life, or is there a more menacing connection between Luc’s arrival and Gabriel Scumble’s murder?",Fiction,
0912365846,Seattle Survival Guide II: The Essential Handbook for Urban Living,Theresa Morrow,1993,Sasquatch Books,,,
088270236X,Let my people grow: Ministry and leadership in the church,Michael Harper,1977,Logos International,,,
0881502707,The Cut Direct: A Leonidas Witherall Mystery,Phoebe Atwood Taylor,1993,Countryman Press,,,
0689848048,River Boy,Tim Bowler,2002,Simon Pulse,,,
0062515004,Cash: The Autobiography,Johnny Cash,1997,Harpercollins,,,
0064403351,Magic Hat of Mortimer Wintergreen,Myron Levoy,1990,HarperCollins Publishers,,,
031231826X,Facing the Light,Adele Geras,2004,Thomas Dunne Books,,,
0809239140,"Pasta Menus: 52 Easy, Delicious, Complete Meals",Norman Kolpas,1993,McGraw-Hill/Contemporary Books,,,
0875167098,Open Your Mind and Be Healed,Johnnie Colemon,2000,DeVorss &amp; Company,,,
1887368256,Are You Loathsome Tonight?: A Collection of Short Stories,Poppy Z. Brite,2000,Gauntlet Press,,,
0786918357,Psionics Handbook (Dungeons &amp; Dragons Supplement),Bruce R. Cordell,2001,Wizards of the Coast,,,
156027462X,Private Pilot for Airplane Single-Engine Land and Sea Practical Test Standards: #FAA-S-8081-14A (single),Federal Aviation Administration,2003,Aviation Supplies &amp; Academics,,,
0448401231,Who Says Quack? (Pudgy Board Book),Jerry Smith,1991,Grosset &amp; Dunlap,,,
0451204891,The Hearing,John Lescroart,2002,Signet Book,"Hardy's best friend, Lieutenant Abe Glitsky, has kept a secret from him...and everyone else. Hardy never knew that Abe had a daughter-until she was shot dead. It seems obvious that the heroin addict hovering over her body with a gun is the guilty party, and Glitsky has few qualms about sweating a confession out of him. But there is more to this murder-much more. And as both Hardy and Glitsky risk their lives to uncover the truth, others are working hard to stop them.",Fiction,
0006119875,KING OF THE CASTLE,Holt Victoria,1969,HarperCollins Publishers,,,
0061083755,Danny Boy (Harper Monogram),Leigh Riker,1995,Harper Mass Market Paperbacks,,,
0886778891,"Brightly Burning (Daw Books Collectors, No. 1150)",Mercedes Lackey,2000,Daw Books,,,
0345444841,The Photograph,VIRGINIA ELLIS,2003,Ballantine Books,,,
0670808423,Tone Deaf and All Thumbs?: An Invitation to Music-Making for Late Bloomers and Non-Prodigies,Frank R. Wilson,1986,Penguin USA,,,
0373164955,"Hart'S Obsession (Harlequin American Romance, No 16495)",Jim Wilson,1993,Harlequin,,,
0312242611,The Usual Rules: A Novel,Joyce Maynard,2003,St. Martin's Press,,,
0345370864,Night Siege: The Hudson Valley Ufo Sightings,J. Allen Hyneck,1991,Ballantine Books,,,
1570620210,Enlightened Journey : Buddhist Practice as Everyday Life,TULKU THONDUP,1995,Shambhala,,,
1560232234,To the Edge,Cameron Abbott,2001,Alice Street Editions,,,
0747521018,Blind Fury (Ironfist Chinmi - Kung Fu Boy),Takeshi Maekawa,1995,Bloomsbury Publishing Plc,,,
0871135930,Land of Opportunity: One Family's Quest for the American Dream in the Age of Crack,William M. Adler,1995,Pub Group West,,,
0553561774,A Deadly Promise (A Bantam Starfire Book),Joan Lowery Nixon,1993,Starfire,,,
0719553466,Last Post: The End of Empire in the Far East,John Keay,1997,John Murray General Publishing Division,,,
1885418213,The Hereafter Gang,Neal Barrett Jr.,1999,Mojo Press,,,
0449909018,"Sexual Dreams: Why We Have Them, What They Mean",Gayle Delaney,1994,Fawcett Books,,,
3473520845,Die kleine Eule. ( Ab 8 J.).,Jill Tomlinson,1997,Ravensburger Buchverlag,,,
0879234180,The Hunger of Memory: The Education of Richard Rodriguez : An Autobiography,Richard Rodriguez,1982,David R Godine Pub,,,
0395478049,Offshore,Penelope Fitzgerald,1998,Mariner Books,,,
0810956640,Portable Tyrannosaurus Rex,Abrams,2000,Harry N Abrams,,,
0889841578,Portraits of Flowers: Wood Engravings,G. Brender a Brandis,1995,Porcupine's Quill,,,
0843921617,The Seeing,William P. McGivern,1984,Leisure Books,,,
0192838121,Waves,Virginia Woolf,1998,Oxford Univ Pr,"One of Woolf's most experimental novels, The Waves presents six characters in monologue - from morning until night, from childhood into old age - against a background of the sea. The result is a glorious chorus of voices that exists not to remark on the passing of events but to celebrate the connection between its various individual parts.",Friendship,
0702230782,Republic of Women,Merrill Findlay,1999,Intl Specialized Book Service Inc,,,
0966347374,The Perpetrators,Gary Phillips,2002,UglyTown,,,
0380011220,Creatures of Light and Darkness,Roger Zelazny,1970,Harper Mass Market Paperbacks (Mm),Emissaries from the Egyptian gods of life and death enter the middle worlds to destory the Prince Who Was a Thousand,Fiction,
0207187320,My Brother Jack,George Johnston,0,Harpercollins Publisher,,,
0156014092,The Secret Lives of Words,Paul West,2001,Harvest Books,,,
8474237297,Panfleto desde el planeta de los simios (Las letras de drakontos),Manuel VÃ¡zquez MontalbÃ¡n,1995,CrÃ­tica Grijalbo Mondadori,,,
0151008108,The Ordinary White Boy,Brock Clarke,2001,Harcourt,,,
0881768499,Learn about dinosaurs (Leap frog),Laura D'Argo,1990,New Seasons Pub,,,
081477556X,"Chained to the Desk: A Guidebook for Workaholics, Their Partners and Children, and the Clinicians Who Treat Them","Bryan E., Phd Robinson",2001,New York University Press,,,
1929462093,Sluggy Freelance: Game Called on Account of Naked Chick (Book 4),Pete Abrams,2000,Plan Nine Pub,,,
0800707834,"In my father's house: The years before \The Hiding Place\""""",Corrie Ten Boom,1976,F. H. Revell Co,,,
8408044141,El Imperio De Las Tinieblas. LA Reina Libertad I,Christian Jacq,2002,Planeta,,History,
0786712023,Graves Gate: A Novel of Possession,Dennis Burges,2003,Carroll &amp; Graf Publishers,,,
0312080743,Mortal Error: The Shot That Killed JFK,Bonar Menninger,1992,St Martins Pr,,,
1878818937,Wild With It Poems: Poems,Aliki Barnstone,2002,University Press of New England,,,
0345441338,The Sugar Addict's Total Recovery Program,Kathleen Desmaisons,2002,Ballantine Books,,,
3502122865,Der magische Kubus.,Annie Gottlieb,2002,Scherz,,,
0316104914,Chloe and Maude,Sandra Boynton,1985,Little Brown and Company,,,
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,A NOVEL ABOUT THE COMPLEX BONDS BETWEEN A MOTHER AND A DAUGHTER.,Fiction,en
3423704438,Glitzerkatze und Stinkmaus. ( Ab 7 J.).,Andreas SteinhÃ?Â¶fel,1997,Dtv,,,
0843951907,Dark Universe,William F. Nolan,2003,Leisure Books,A collection of the best stories from the master of the horror genre.,Horror tales,en
2207247899,Les guerriers du Grand CrÃ?Â¢ne,D Morlok,1998,DenoÃ?Â«l,,,
067101966X,Sweet Fortune,Jayne Ann Krentz,1998,Pocket,"Free-spirited Jessie Benedict refuses to marry Sam Hatchard, the man her powerful family has chosen for her. Determined to start her own detective agency, Jessie is surprised to discover that Hatchard is her friend and ally, as well as a tender lover who knows how to get ""Yes"" for an answer.",Businessmen,
1575662442,Country Comes to Town: A Laura Fleming Mystery (Laura Fleming Mystery),Toni L. P. Kelner,1998,Kensington Publishing Corporation,,,
0435221205,Hobson's Choice (Hereford Plays),Harold Brighouse,1992,Heinemann Educational Books - Secondary Division,,,
0345359666,Clan of the Warlord,Elizabeth H. Boyer,1992,Del Rey Books,,,
141077953X,The Hunt Is Away,D. Forrester Newhall,2003,Authorhouse,,,
0517583569,The Little Grain Cookbook,Patricia Stapley,1991,Random House Inc,,,
0749397942,The Rationalist,Warwick Collins,1994,Minerva,,,
0307134652,I Can Go Potty,Bonnie Worth,1999,Golden Books,,,
0399145974,"Strong Women, Strong Bones : Everything You Need to Know to Prevent, Treat, and Beat Osteoporosis",Miriam Nelson,2000,Putnam Publishing Group,,,
0786011920,Rough Trade,Steve Jackson,2001,Pinnacle Books,,,
0395664004,"Toby Scudder, King of the School",David Gifaldi,1993,Clarion Books,,,
8486036615,Vocabulario bÃ¡sico bilingÃ¼e: AragonÃ©s-castellano y castellano-aragonÃ©s (Puens enta ra parola),Antonio MartÃ­nez Ruiz,1997,Publicazions d'o Consello d'a Fabla Aragonesa,,,
