User-ID,Location,Age
53730,"bothell, washington, usa",41.0
153971,"oceanside, california, usa",
267879,"glen mills, pennsylvania, usa",
98189,"somerset, kentucky, usa",43.0
138204,"bear, delaware, usa",46.0
223070,"lutherville, maryland, usa",
205312,"stevens point, wisconsin, usa",24.0
9246,"st. paul, minnesota, usa",40.0
144174,"tampere, pirkanmaa, finland",
47669,"lenggries, bavaria, germany",
203647,"immokalee, florida, usa",59.0
198029,"altea, alicante, spain",23.0
260060,"frome, england, united kingdom",46.0
10107,"tallahassee, florida, usa",23.0
127924,"brooklyn, new york, usa",27.0
167020,"bonn, nordhrein - westfalen, germany",21.0
143612,"allendale, new jersey, usa",35.0
259204,"woodland, california, usa",
238146,"martinez, california, usa",
184680,"culver, indiana, usa",
14570,"spokane, washington,",21.0
222789,"winona, minnesota, usa",40.0
262139,"kingston, ontario, canada",33.0
1254,"16605 bennington ct, indiana, usa",26.0
37461,"harriman, tennessee, usa",10.0
11260,"vineland, new jersey, usa",37.0
199178,"brighton, england, united kingdom",57.0
54047,"la plata, buenos aires, argentina",
24197,"selma, california, usa",54.0
191517,"warwick, new york, usa",41.0
48691,"limoges, limousin, france",23.0
187157,"cleveland, ohio, usa",51.0
277206,"quincy-voisins, n/a, france",
218166,"wellington, north island, new zealand",
136824,"ajax, ontario, canada",34.0
98175,"kingston, new hampshire, usa",22.0
201935,"pensacola, florida, usa",
151332,"scotch plains, new jersey, usa",
2342,"burgos, castilla y leon, spain",60.0
179232,"houston, texas, usa",27.0
8006,"milton, massachusetts, usa",34.0
121631,"olivares, sevilla, spain",36.0
215671,"toronto, ontario, canada",
209470,"dallas, texas, usa",
18046,"dayton, texas, usa",23.0
135918,"san diego, california, usa",
96253,"honolulu, hawaii, usa",
70627,"tucson, arizona, usa",
75312,"katy, texas, usa",33.0
40971,"griswold, iowa, usa",11.0
206843,"murcia, murcia, spain",21.0
173080,"rome, lazio, italy",40.0
79502,"florence, italy, italy",
72155,"essen, n/a, germany",27.0
228454,"hillsboro, alabama, usa",16.0
182341,"sydney, ,",
216585,"kolkata, alberta, india",
193843,"brentwood, new york, usa",25.0
59206,"glasgow, scotland, united kingdom",
254519,"lorain, ohio, usa",52.0
53041,"nutting lake, massachusetts, canada",55.0
256527,"cologne, nordrhein-westfalen, germany",20.0
127385,"suffern, new york, usa",39.0
236500,"igualada, catalunya, spain",49.0
264519,"florey, australian capital territory, australia",28.0
71605,"darmstadt, hessen, germany",29.0
182018,"cartagena, murcia, spain",23.0
130123,"ourense, baden-wuerttemberg, spain",23.0
160684,"cincinnati, ohio, usa",32.0
140265,"san francisco, california, usa",49.0
190844,"forest grove, oregon, usa",
174486,"st. albert, alberta, canada",37.0
52525,"jacksonville, florida, usa",34.0
257826,"moers, nordrhein-westfalen, germany",19.0
136160,"faro, algarve, portugal",22.0
136750,"essex, england, united kingdom",31.0
12790,"exmouth, western australia, australia",40.0
16639,"elk mound, wisconsin, usa",44.0
221110,"slough, england, united kingdom",33.0
54249,"carmichael, california, usa",25.0
236170,"langley, british columbia, canada",
172422,"clemson, south carolina, usa",27.0
254247,"toronto, ontario, canada",25.0
257727,"bochum, nordrhein-westfalen, germany",
92309,"vernon, british columbia, canada",
85423,"st. clair, michigan, usa",
204357,"vienna, vienna, austria",42.0
178541,"hyderabad, andhrapradesh, india",23.0
171500,"hollywood, california, usa",33.0
12762,"elgin, quebec, canada",6.0
92024,"tathra, new south wales, australia",14.0
76337,"breda, noord-brabant,",
113932,"chennai, indiana, india",21.0
18636,"louisville, kentucky, usa",
235584,"norwich, england, united kingdom",
230672,"tübingen, baden-wuerttemberg, germany",30.0
175177,"wayne, pennsylvania, usa",
193498,"patchogue, new york, usa",35.0
46369,"sydney, new south wales, australia",
275574,"lisbon, n/a, portugal",19.0
38073,"agoura hills, california, usa",
95295,"oregon city, oregon, usa",32.0
87059,"gibsons, british columbia, canada",
205913,"mataró, barcelona, spain",23.0
87253,"hamburg, hamburg, germany",
44217,"winter haven, florida, usa",59.0
70137,"north york, ontario, canada",
44452,"le cannet, n/a, la france",16.0
206144,"montreal, quebec, canada",24.0
10964,"aberdeen, aberdeen, united kingdom",
253246,"bonn, nordrhein-westfalen, germany",35.0
135422,"roma, lazio, italy",51.0
260033,"jonesboro, arkansas, usa",
204364,"indianapolis, indiana, usa",
101719,"sacramento, california, usa",
148945,"charleston, south carolina, usa",55.0
28287,"alcalá de henares, madrid, spain",28.0
217044,"smithville, new jersey, usa",
29164,"winston salem, north carolina, usa",
156352,"lewisburg, west virginia, usa",39.0
85907,"barcelona, barcelona, spain",29.0
32322,"riverside, california, usa",47.0
146183,"manresa, catalunya, spain",24.0
248904,"oberschleißheim, bavaria, germany",
43309,"doylestown, ohio, usa",42.0
236358,"daton, wyoming, usa",
31256,"charleston, south carolina, usa",
131655,"charleston, west virginia, usa",
267241,"marion, north carolina, usa",25.0
89603,"perth, scotland, united kingdom",20.0
159584,"brooklyn, new york, usa",56.0
43307,"albany, new york, usa",
271785,"asheville, north carolina, usa",
83862,"cambridge, east anglia, united kingdom",
256288,"asheville, north carolina, usa",
228172,"rockhampton, queensland, australia",13.0
28781,"munich, bavaria, germany",19.0
86586,"grand ledge, michigan, usa",
135655,"northfield center, ohio, usa",25.0
4096,"newmarket, ontario, canada",38.0
5002,"milano, milano, italy",
126640,"atlanta, georgia, canada",34.0
254826,"saronno, lombardia, italy",
100680,"paris, ,",36.0
92126,"daly city, california, usa",
179877,"godoy cruz, alberta, argentina",57.0
223042,"ann arbor, michigan, usa",36.0
148327,"liverpool, england, united kingdom",32.0
146585,"mill valley, california, usa",46.0
153565,"bari, puglia, italy",27.0
197583,"mckeesport, pennsylvania, usa",25.0
264150,"valladolid, castilla y leon, spain",23.0
1111,"london, ontario, canada",
194016,"nashville, tennessee, usa",
236284,"stoneham, massachusetts, usa",
31555,"gothenburg, n/a, sweden",41.0
228251,"coimbra, coimbra, portugal",1.0
110645,"guangzhou, california, china",
256956,"calgary, alberta, canada",45.0
252387,"elsternwick, victoria, australia",58.0
161540,"secret, hessen, germany",
180220,"bilbao, bizkaia, spain",23.0
208534,"morrisville, vermont, usa",
169857,"mount juliet, tennessee, usa",
109113,"henderson, nevada, usa",
56320,"st charles, missouri, usa",
73195,"meriden, connecticut, usa",26.0
46733,"birmingham, england, united kingdom",23.0
236846,"london, london, united kingdom",36.0
28122,"seattle, washington, usa",33.0
224064,"vevey, vaud, switzerland",30.0
227127,"surrey, british columbia, canada",
80541,"wrexham, wales, united kingdom",
62915,"san diego, california, usa",
14670,"in front of my computer, n/a, australia",
83105,"brussels, brussels, belgium",28.0
22388,"canfield, ohio, usa",
121933,"melbourne, victoria, australia",
596,"san francisco, california, usa",49.0
131817,"gevelsberg, \n/a\"", germany""",40.0
255719,"columbus, ohio, usa",30.0
236097,"san francisco, california, usa",
223306,"colorado springs, colorado, usa",39.0
262269,"varese, lombardia, italy",56.0
147585,"winnipeg, manitoba, canada",23.0
115349,"oakhurst, new jersey, usa",52.0
121837,"dartmouth, nova scotia, canada",27.0
209136,"mill creek, washington, usa",
122138,"san francisco, california, usa",25.0
210842,"painesville, ohio, usa",
102847,"valladolid, valladolid, spain",36.0
179667,"brisbane, queensland, australia",
164550,"amsterdam, nh, netherlands",
205541,"new fairfield, connecticut, usa",
37175,"stafford, virginia, usa",48.0
251307,"tingalpa, queensland, australia",
203833,"guarda, beira alta, portugal",
257869,"oviedo, asturias, spain",35.0
275365,"sydney, new south wales, australia",
229071,"winsted, connecticut, usa",
172458,"erfurt, thueringen, germany",42.0
268896,"millburn, new jersey, usa",
158120,"oakland, california, usa",
85516,"calcutta, saarland, india",36.0
129431,"los angeles, california, usa",33.0
194006,"newport, rhode island, usa",51.0
62931,"san diego, california, usa",
237363,"st. francis, wisconsin, usa",25.0
167512,"medowie, new south wales, australia",34.0
257020,"peterborough, ontario, canada",34.0
222042,"olympia, washington, usa",
123754,"orlando, florida, usa",
201865,"austin, texas, usa",
28668,"nordborg, ,",51.0
130961,"falls church, virginia, usa",
123637,"st. john`s, newfoundland, canada",
188739,"la selva beach, california, usa",
35010,"garner, north carolina, usa",
211610,"buthiers, haute-saône, france",50.0
226345,"kassel, n/a, germany",
165461,"zamora, castilla y león, spain",41.0
121553,"buffalo, new york, usa",
177569,"port orchard, washington, usa",52.0
98751,"recife, pernambuco, brazil",21.0
34477,"northfield, new hampshire, usa",17.0
41808,"boston, massachusetts, usa",29.0
36749,"newton, mississippi, usa",
175492,"münchen, bayern, germany",26.0
101335,"halifax, nova scotia, canada",31.0
244774,"atlanta, georgia, usa",
264655,"whistler, british columbia, canada",25.0
109229,"castellanza, lombardia, italy",24.0
125942,"roma, lazio, italy",
79702,"melbourne, victoria, australia",60.0
57954,"fargo, north dakota, usa",38.0
167538,"birmingham, england, united kingdom",23.0
190565,"el cajon, california, usa",
31595,"madison, alabama, usa",
216374,"são paulo, são paulo, brazil",47.0
16186,"singapore, n/a, singapore",15.0
151683,"columbia, maryland, usa",
83933,"lockhart, texas, usa",
224772,"west covina, california, usa",17.0
183406,"valencia, valencia, spain",18.0
165844,"uppsala, n/a, sweden",
190263,"paducah, kentucky, usa",48.0
149306,"new york, new york, usa",
162158,"lynnwood, washington, usa",35.0
207447,"st.louis, missouri, usa",18.0
234411,"ha noi, ha` noi, vietnam",15.0
21082,"west richland, washington, usa",40.0
181711,"moses lake, washington, usa",19.0
174473,"longmont, colorado, usa",
211409,"chicago, illinois, usa",
134469,"lawrence, kansas, usa",21.0
42932,"saskatoon, saskatchewan, canada",45.0
248339,"ontario, california, usa",
107122,"delta, british columbia, canada",34.0
241622,"llandudno, wales, united kingdom",35.0
117468,"chloe, west virginia, usa",22.0
193602,"tigard, oregon, usa",
226873,"beaverbank, nova scotia, canada",38.0
87535,"ciudad de buenos aires, yukon territory, argentina",23.0
235695,"bethalto, illinois, usa",41.0
159985,"vilanova i la geltrú, barcelona, spain",36.0
189672,"ottawa, ontario, canada",
229530,"wiesbaden, hessen, germany",
104433,"k-town, tennessee, usa",
6833,"barcelona, barcelona, spain",42.0
921,"osnabrück, niedersachsen, germany",
255039,"madison, alabama, usa",
140370,"glasgow, scotland, united kingdom",26.0
49330,"padova, veneto, italy",27.0
147387,"lockport, illinois, usa",41.0
183366,"hurlingham, buenos aires, argentina",24.0
73843,"kenosha, wisconsin, usa",
140709,"visoko, bosnia, bosnia and herzegovina",21.0
40619,"los angeles, california, usa",32.0
166460,"carcavelos - lisboa, lisboa, portugal",25.0
159324,"pescara, abruzzo, italy",36.0
103197,"toms river, new jersey, usa",13.0
15811,"pensacola, florida, usa",1.0
201537,"seri kembangan, selangor, malaysia",22.0
143577,"armonk, new york, usa",
168864,"newbury, berkshire, united kingdom",
201706,"yuma, arizona, usa",37.0
259593,"atlanta, georgia, usa",
73895,"basingstoke, england, united kingdom",42.0
162802,"montreal, quebec, canada",
176618,"monee, illinois, usa",32.0
199306,"são paulo, são paulo, brazil",32.0
52403,"ferndale, michigan, usa",
15840,"paris, australian capital territory, france",27.0
118747,"powhatan, virginia, usa",
265121,"calgary, alberta, canada",37.0
252638,"redmond, washington, usa",30.0
48046,"central sq., new york, usa",
253307,"carrollton, georgia, usa",
162622,"gainesville, missouri, usa",13.0
159339,"huntington station, new york, usa",
85279,"barcelona, catalunya, spain",21.0
42268,"adel, iowa, usa",46.0
191253,"freeland, washington, usa",50.0
12769,"giessen, hessen, germany",21.0
224036,"des plaines, illinois, usa",70.0
244707,"hollister, california, usa",
13695,"nice, n/a, france",19.0
78478,"hackett, arkansas, usa",71.0
121427,"grand rapids, michigan, usa",
78481,"sacramento, california, usa",31.0
204015,"&#33713;&#33436;, &#33713;&#33436;, china",15.0
108684,"ewing, new jersey, usa",34.0
224152,"beirut, n/a, lebanon",43.0
235142,"champaign, illinois, usa",32.0
262724,"giraltovce, presovsky kraj, slovakia",21.0
19311,"biella, biella, italy",
25678,"fall branch, tennessee, usa",
11053,"kuala lumpur, n/a, malaysia",
25684,"burlington, ontario, canada",
200487,"windsor, ontario, canada",26.0
263630,"hickory, north carolina, usa",
276108,"chapel hill, north carolina, usa",70.0
9732,"san diego, california, usa",
41327,"coatesville, queensland, australia",
130472,"caloundra, queensland, australia",44.0
860,"bristol, england, united kingdom",26.0
235414,"dublin, n/a, ireland",
175585,"munich, brandenburg, germany",41.0
219827,"riverton, wyoming,",
7525,"perth, western australia, australia",33.0
1745,"cedar rapids, iowa, usa",
87628,"dayton, tennessee, usa",
26094,"schneverdingen, niedersachsen, germany",22.0
147599,"cambridge, england, united kingdom",36.0
545,"pomona, missouri, usa",
7263,"stockholm, södermanland, sweden",25.0
146286,"oviedo, asturias, spain",45.0
215518,"altoona, pennsylvania, usa",23.0
36221,"beverly, massachusetts, usa",
205554,"east northport, new york, usa",16.0
258694,"alghero, sassari, italy",
153452,"malta, maltese, malta",
159822,"aptos, california, usa",37.0
93024,"independence, kentucky, usa",
187193,"tulsa, oklahoma, usa",59.0
251346,"southampton, hawaii, united kingdom",
111735,"brookhaven, new york, usa",
257199,"canton, ohio, usa",57.0
17082,"brookings, south dakota, usa",27.0
13307,"atlantic city, new jersey, usa",
158591,"christchurch, canterbury, new zealand",50.0
229999,"york, england, united kingdom",13.0
267341,"benton, illinois, usa",27.0
241960,"carrollton, texas, usa",18.0
6241,"bowmanstown, pennsylvania, usa",31.0
3216,"dublin, victoria, ireland",25.0
68533,"cooper city, florida, usa",32.0
114498,"massapequa, new york, usa",37.0
137569,"seattle, washington, usa",52.0
238926,"montreal, quebec, canada",
74122,"madison, wisconsin, usa",
178519,"new york, new york, usa",
71458,"hastings on hudson, new york, usa",43.0
94061,"st. catharines, ontario, canada",62.0
272604,"wielerbach, rheinland-pfalz, germany",22.0
277164,"islamabad, nebraska, pakistan",
188223,"london, n/a, united kingdom",
106639,"irving, texas, usa",
143597,"louisville, kentucky, usa",
239202,"pasadena, california, usa",
257614,"westland, michigan, usa",37.0
40361,"carrollton, kentucky, usa",50.0
159057,"luebeck, schleswig-holstein, germany",39.0
154577,"arcata, california, usa",
184834,"meinerzhagen, nordrhein-westfalen, germany",
150942,"lancaster, pennsylvania, usa",39.0
193376,"castellon, n/a, spain",30.0
29763,"bourbonnais, illinois, usa",56.0
36880,"lisbon, manitoba, portugal",
100563,"walla walla, washington, usa",
150558,"south pasadena, california, usa",37.0
241841,"portland, oregon, usa",42.0
275331,"rock hill, missouri, usa",34.0
191597,"union city, new jersey, usa",15.0
116402,"london, england, united kingdom",
107226,"donostia, gipuzkoa, spain",39.0
55072,"austin, texas, usa",26.0
32020,"hurstbridge, victoria, australia",14.0
116099,"columbus, ohio, usa",30.0
124591,"phoenix, arizona, usa",
102128,"colorado springs, ,",
189696,"wynne, arkansas, usa",25.0
69289,"christchurch, england, united kingdom",55.0
235558,"calgary, alberta, canada",37.0
103954,"rome, lazio, italy",43.0
109303,"camorino, ticino, switzerland",
149630,"kamuela, hawaii, usa",15.0
218122,"southampton, england, united kingdom",18.0
46447,"vancouver, british columbia, canada",
40231,"brandon, florida, usa",57.0
63760,"sjm, porto, portugal",18.0
265843,"grass valley, california, usa",62.0
262857,"denton, texas, usa",
230313,"arden hills, minnesota, usa",
66565,"bloomington, indiana, usa",75.0
6362,"puracic - lukavac, n/a, bosnia and herzegovina",0.0
82757,"mizunami, inatsu, hagiwara, gifu, japan",18.0
165208,"valencia, comunidad valenciana, spain",19.0
187179,"medford, new jersey, usa",
150212,"culver city, california, usa",
97409,"stockbridge, georgia, usa",54.0
148980,"coral springs, florida, usa",
20082,"znuizinbt, fzmnuoi, tdzimi",
202939,"jefferson city, missouri, usa",
752,"lake charles, louisiana, usa",
183074,"sugarland, texas, usa",
72419,"nottingham, england, united kingdom",18.0
274841,"lüdinghausen, nordrhein-westfalen, germany",32.0
120950,"san francisco, california, usa",
218194,"tucson, arizona, usa",
274527,"alicante, baden-wuerttemberg, spain",17.0
209479,"los angeles, california, usa",28.0
16733,"gorham, maine, usa",57.0
106187,"wellfleet, massachusetts, usa",57.0
114418,"louisville, kentucky, usa",32.0
124059,"toronto, ,",
137717,"antioch, california, usa",
224941,"west bloomfield, michigan, usa",
65949,"ottawa, ontario, canada",30.0
137328,"barcelona, catalunya, andorra",25.0
200906,"8410, 8410, denmark",
173600,"edinburgh, n/a, united kingdom",30.0
250127,"groovyville, british columbia, canada",
210357,"regina, saskatchewan, canada",39.0
17580,"mainaschaff, bayern, germany",28.0
236415,"iloilo, iloilo, philippines",23.0
173480,"woodstock, georgia, usa",40.0
109732,"madrid, madrid, spain",36.0
207827,"glendale, california, usa",
117424,"lincoln, nebraska, usa",
121089,"san diego, california, usa",
55788,"wilmington, massachusetts, usa",47.0
247858,"anaheim hills, california, usa",57.0
29338,"rotterdam, zuid holland, netherlands",
221785,"gorizia, friuli venezia giulia, italy",
6913,"charlottesville, virginia, usa",
259829,"madison, wisconsin, usa",44.0
239064,"auckland, auckland, new zealand",52.0
112602,"vancouver, ,",
158144,"gold coast, queensland, australia",
115294,"beaver, pennsylvania, usa",52.0
220272,"rostock, mecklenburg-vorpommern, germany",27.0
64161,"islandia, new york, usa",57.0
4019,"mtl, quebec, canada",30.0
206478,"hillsboro, oregon, usa",
245565,"frederiksberg, na, denmark",34.0
233273,"austin, texas, usa",31.0
10924,"silver lake, missouri, usa",20.0
139390,"portland, oregon, usa",
118351,"shanghai, shanghai, china",26.0
151164,"newtown, pennsylvania, usa",24.0
178414,"brest, wyoming, france",38.0
221304,"tampere, pirkanmaa, finland",33.0
132262,"nashville, tennessee, usa",30.0
221354,"espoo, n/a, finland",
41570,"jacksonville, texas, usa",45.0
113099,"maple grove, minnesota, usa",43.0
143523,"bremen, bremen, germany",
266828,"seattle, washington, usa",32.0
146508,"waxhaw, north carolina, usa",17.0
220547,"cincinnati, ohio, usa",23.0
133655,"reggio emilia, emilia romagna, italy",21.0
89779,"milano, milano, italy",2.0
129107,"hamburg, hamburg, germany",
86319,"oak park, illinois, usa",
117444,"springfield, missouri, usa",30.0
250692,"kämpfelbach, baden-württemberg, germany",
263410,"mississauga, pennsylvania, canada",35.0
244696,"st paul, minnesota, usa",
270372,"new york, new york, usa",
33007,"lleida, catalunya, spain",43.0
12783,"milwaukee, wisconsin, usa",
62501,"rochester, new york, usa",
194462,"fenton, missouri, usa",
45812,"zephyrhills, florida, usa",
232343,"philadelphia, pennsylvania, usa",
208276,"san francisco, california, usa",
76728,"adelaide, south australia, australia",24.0
123027,"canberra, australian capital territory, australia",15.0
99726,"san diego, california, usa",
95001,"northampton, northamptonshire, united kingdom",38.0
171697,"springboro, ohio, usa",
108566,"reykjavik, n/a, iceland",
155463,"st. albans, west virginia, usa",38.0
107392,"birmingham, england, united kingdom",25.0
242699,"coburg, oregon, usa",
144352,"tulare, california, usa",28.0
101527,"eugene, oregon,",
240018,"sturgeon, missouri, usa",16.0
243833,"kelowna, british columbia, canada",
79122,"karachi, pakistan/sind/asia, pakistan",
30259,"acton, massachusetts, usa",
202844,"grimsby, lincolnshire, united kingdom",
9062,"sydney, new south wales, australia",29.0
275693,"hamburg, hamburg, germany",33.0
7846,"nürnberg, bayern, germany",
70756,"east brookfield, massachusetts, usa",24.0
50156,"dallas, texas, usa",25.0
64543,"wellington, wellington, new zealand",24.0
253983,"torino, piemonte, italy",48.0
110935,"ithaca, new york, usa",52.0
88429,"goodna, queensland, australia",12.0
130863,"giessen, hessen, germany",37.0
117760,"st catharines, ontario, canada",33.0
231291,"omaha, nebraska, usa",
154052,"madrid, madrid, spain",32.0
28759,"ladson, south carolina, usa",
119477,"milano, lombardia, italy",37.0
274389,"matosinhos, porto, portugal",20.0
168839,"naperville, illinois, usa",
182746,"jacksonville, florida, usa",44.0
137132,"trenton, new jersey, usa",
172627,"cholet, n/a, france",22.0
178155,"victoria, british columbia, canada",
195112,"lake placid, new york, usa",48.0
31095,"riverside, iowa, usa",44.0
26904,"dachau, bayern, germany",19.0
34692,"portland, maine, usa",
142051,"vancouver, ,",58.0
121613,"panama, panama, pa",
101153,"roseville, minnesota, usa",22.0
230793,"ferrara, emilia romagna, italy",20.0
48767,"payne, ohio, usa",
214875,"catanzaro, calabria, italy",25.0
84967,"toronto, ontario, canada",
28786,"toronto, ontario, canada",51.0
41786,"morton, illinois, usa",15.0
47981,"battle ground, washington, usa",21.0
193789,"buffalo, new york, usa",59.0
27802,"soest, nordrhein-westfalen, germany",38.0
170302,"gloucestershire, england, united kingdom",16.0
52572,"gold coast, queensland, australia",
224621,"hemsbach, baden-wuerttemberg, germany",21.0
245719,"enfield, connecticut, usa",
147652,"madrid, n/a, spain",34.0
80037,"shanghai, saarland, china",26.0
35450,"berlin, berlin, germany",26.0
204461,"san antonio, texas, usa",
45783,"bromley, kent, united kingdom",
175479,"auckland, northland, new zealand",48.0
236481,"placitas, new mexico, usa",
40384,"le locle, neuchâtel, switzerland",
176231,"san diego, california, usa",
241084,"fullerton, california, usa",19.0
101886,"west chesterfield, new hampshire, usa",29.0
117583,"albuquerque, new mexico, usa",
186814,"petaluma, california, usa",20.0
155776,"mildura, victoria, australia",51.0
158553,"macon, georgia, usa",32.0
39093,"milano, lombardia, italy",38.0
84177,"morelia, michoacan, mexico",38.0
125557,"joplin, missouri, usa",
141025,"churchville, pennsylvania, usa",
143398,"clinton, mississippi, usa",
147780,"worcester, ,",28.0
126179,"portland, oregon, usa",
253515,"torfaen, wales, united kingdom",26.0
69690,"san donato milanese, lombardia, italy",
62323,"arlington, texas, usa",37.0
271312,"mississauga, ontario, canada",37.0
115215,"roswell, georgia, usa",44.0
91791,"creston, british columbia, canada",
112660,"melbourne, victoria, australia",
180465,"chilliwack, british columbia, canada",26.0
74307,"phillipsburg, new jersey, usa",28.0
28204,"south ohio, nova scotia, canada",61.0
72319,"hannover, niedersachsen, germany",
198116,"aarau, aargau, switzerland",44.0
79718,"kittanning, pennsylvania, usa",42.0
103394,"prestwick, scotland, united kingdom",16.0
7451,"plymouth, minnesota, usa",30.0
83667,"liss, , united kingdom",
138094,"santander, cantabria, spain",21.0
117852,"stamford, connecticut, usa",34.0
24079,"new york, new york, usa",
176564,"new york, new york, usa",21.0
231735,"philadelphia, pennsylvania, usa",
35794,"westlake village, california, usa",
125390,"barcelona, mecklenburg-vorpommern, spain",56.0
49321,"são paulo, são paulo, brazil",32.0
172736,"tandil, buenos aires, argentina",38.0
275448,"naples, campania, italy",36.0
186570,"rantoul, illinois, usa",28.0
182696,"huntington beach, california, usa",
247701,"aviles, asturias, spain",28.0
139546,"milton keynes, england, united kingdom",30.0
7199,"marietta, georgia, usa",
63942,"melbourne, victoria, australia",
89496,"coopersville, michigan, usa",48.0
182094,"lisboa, \n/a\"", portugal""",52.0
226151,"berlin, berlin, germany",27.0
91816,"fayetteville, pennsylvania, usa",
253205,"40 000 cakovec, alberta, croatia",
15821,"swannanoa, north carolina, usa",
33194,"memphis, tennessee,",
10614,"rawang, selangor, malaysia",
179009,"poteau, oklahoma, usa",34.0
152420,"burwood, victoria, australia",16.0
78606,"singapore, n/a, singapore",15.0
246294,"boston, massachusetts, usa",
35537,"goshen, indiana, usa",14.0
65992,"mettmann, nordrhein-westfalen, germany",41.0
114349,"ottawa, ontario, canada",
256960,"el sobrante, california, usa",34.0
96193,"vitoria, euskadi, spain",22.0
235194,"aberdeen, scotland, united kingdom",
98764,"kihei, hawaii, usa",45.0
172963,"alexandria, virginia, usa",25.0
208200,"raleigh, north carolina, usa",
264470,"barcelona, barcelona, spain",27.0
40732,"newburgh, indiana, usa",
268366,"brookline, massachusetts, usa",71.0
37797,"vancouver, british columbia, canada",
118204,"kenosha, wisconsin, usa",
275756,"hudson, illinois, usa",32.0
30727,"grossenhain, sachsen, germany",26.0
139630,"northport, alabama, usa",
61298,"gainesville, florida, usa",47.0
140528,"barcelona, barcelona, spain",31.0
103059,"des moines, washington, usa",
240227,"salinas, california, usa",47.0
278472,"biel-benken bl/schweiz, alabama, switzerland",81.0
255287,"wilsonville, oregon, usa",44.0
167364,"cannero riviera (vb), piemonte, italy",
48414,"qualicum beach, british columbia, canada",61.0
32484,"bronx, new york, usa",
39491,"lynnwood, washington, usa",21.0
45580,"san antonio, texas, usa",
252461,"gadsden, alabama, usa",
75872,"stamford, connecticut, usa",
99191,"saint paul, minnesota, usa",46.0
146830,"paris, paris, france",28.0
98797,"memphis, tennessee, usa",51.0
95292,"north sydney, new south wales, australia",32.0
235051,"merzhausen, baden-wuerttemberg, germany",42.0
266423,"seattle, washington, usa",
27,"chicago, illinois, usa",32.0
109553,"toronto, ontario, canada",25.0
250479,"munich, bayern, germany",24.0
267482,"cheenai, tamil nadu, india",
91268,"missouri city, texas, usa",
45489,"pavia, lombardia, italy",29.0
49846,"grand rapids, michigan, usa",
195584,"london, england, united kingdom",
122425,"bedford, massachusetts, usa",
57914,"helsinki, uusimaa, finland",17.0
187501,"los altos, california, usa",
147939,"leeds, england, united kingdom",
183731,"rheinstetten, baden-württemberg, germany",24.0
70539,"st. petersburg, florida, usa",
253860,"roma, lazio, italy",29.0
141568,"hellsinki, europe, finland",21.0
162746,"london, england, united kingdom",41.0
165569,"beograd, srbija, yugoslavia",
235901,"milwaukee, wisconsin, usa",34.0
247048,"san isidro, buenos aires, argentina",49.0
82432,"courtenay, bc, british columbia, canada",
73915,"milwaukee, wisconsin, usa",22.0
175422,"san francisco, california, usa",29.0
172998,"manchester, england, united kingdom",21.0
150883,"seville, seville, spain",44.0
77300,"surrey, england, united kingdom",18.0
153734,"syracuse, new york, usa",
269598,"doylestown, pennsylvania, usa",37.0
204166,"salt spring island, british columbia, canada",
27611,"yonkers, new york, usa",
52077,"stockholm, n7a, sweden",
8969,"athens, west virginia, greece",
110961,"whitley city, kentucky, usa",
